,chip_id,location,datetime,cloudpath,B02_path,B03_path,B04_path,B08_path,label_path,fold
0,adwp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwp,/data/train_features/adwp/B02.tif,/data/train_features/adwp/B03.tif,/data/train_features/adwp/B04.tif,/data/train_features/adwp/B08.tif,/data/pseudo_labels/adwp.tif,2
1,adwu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwu,/data/train_features/adwu/B02.tif,/data/train_features/adwu/B03.tif,/data/train_features/adwu/B04.tif,/data/train_features/adwu/B08.tif,/data/pseudo_labels/adwu.tif,2
2,adwz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwz,/data/train_features/adwz/B02.tif,/data/train_features/adwz/B03.tif,/data/train_features/adwz/B04.tif,/data/train_features/adwz/B08.tif,/data/train_labels/adwz.tif,2
3,adxp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adxp,/data/train_features/adxp/B02.tif,/data/train_features/adxp/B03.tif,/data/train_features/adxp/B04.tif,/data/train_features/adxp/B08.tif,/data/train_labels/adxp.tif,2
4,aeaj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeaj,/data/train_features/aeaj/B02.tif,/data/train_features/aeaj/B03.tif,/data/train_features/aeaj/B04.tif,/data/train_features/aeaj/B08.tif,/data/train_labels/aeaj.tif,2
5,aeap,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeap,/data/train_features/aeap/B02.tif,/data/train_features/aeap/B03.tif,/data/train_features/aeap/B04.tif,/data/train_features/aeap/B08.tif,/data/train_labels/aeap.tif,2
6,aebi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aebi,/data/train_features/aebi/B02.tif,/data/train_features/aebi/B03.tif,/data/train_features/aebi/B04.tif,/data/train_features/aebi/B08.tif,/data/train_labels/aebi.tif,2
7,aebu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aebu,/data/train_features/aebu/B02.tif,/data/train_features/aebu/B03.tif,/data/train_features/aebu/B04.tif,/data/train_features/aebu/B08.tif,/data/train_labels/aebu.tif,2
8,aeej,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeej,/data/train_features/aeej/B02.tif,/data/train_features/aeej/B03.tif,/data/train_features/aeej/B04.tif,/data/train_features/aeej/B08.tif,/data/train_labels/aeej.tif,2
9,aeey,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeey,/data/train_features/aeey/B02.tif,/data/train_features/aeey/B03.tif,/data/train_features/aeey/B04.tif,/data/train_features/aeey/B08.tif,/data/train_labels/aeey.tif,2
10,aegb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aegb,/data/train_features/aegb/B02.tif,/data/train_features/aegb/B03.tif,/data/train_features/aegb/B04.tif,/data/train_features/aegb/B08.tif,/data/train_labels/aegb.tif,2
11,aege,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aege,/data/train_features/aege/B02.tif,/data/train_features/aege/B03.tif,/data/train_features/aege/B04.tif,/data/train_features/aege/B08.tif,/data/pseudo_labels/aege.tif,2
12,aehu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aehu,/data/train_features/aehu/B02.tif,/data/train_features/aehu/B03.tif,/data/train_features/aehu/B04.tif,/data/train_features/aehu/B08.tif,/data/train_labels/aehu.tif,2
13,aeig,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeig,/data/train_features/aeig/B02.tif,/data/train_features/aeig/B03.tif,/data/train_features/aeig/B04.tif,/data/train_features/aeig/B08.tif,/data/train_labels/aeig.tif,2
14,aejg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejg,/data/train_features/aejg/B02.tif,/data/train_features/aejg/B03.tif,/data/train_features/aejg/B04.tif,/data/train_features/aejg/B08.tif,/data/train_labels/aejg.tif,2
15,aejo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejo,/data/train_features/aejo/B02.tif,/data/train_features/aejo/B03.tif,/data/train_features/aejo/B04.tif,/data/train_features/aejo/B08.tif,/data/train_labels/aejo.tif,2
16,aejp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejp,/data/train_features/aejp/B02.tif,/data/train_features/aejp/B03.tif,/data/train_features/aejp/B04.tif,/data/train_features/aejp/B08.tif,/data/pseudo_labels/aejp.tif,2
17,aeky,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeky,/data/train_features/aeky/B02.tif,/data/train_features/aeky/B03.tif,/data/train_features/aeky/B04.tif,/data/train_features/aeky/B08.tif,/data/pseudo_labels/aeky.tif,2
18,aelg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aelg,/data/train_features/aelg/B02.tif,/data/train_features/aelg/B03.tif,/data/train_features/aelg/B04.tif,/data/train_features/aelg/B08.tif,/data/train_labels/aelg.tif,2
19,aeli,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeli,/data/train_features/aeli/B02.tif,/data/train_features/aeli/B03.tif,/data/train_features/aeli/B04.tif,/data/train_features/aeli/B08.tif,/data/train_labels/aeli.tif,2
20,aemb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aemb,/data/train_features/aemb/B02.tif,/data/train_features/aemb/B03.tif,/data/train_features/aemb/B04.tif,/data/train_features/aemb/B08.tif,/data/train_labels/aemb.tif,2
21,aeme,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeme,/data/train_features/aeme/B02.tif,/data/train_features/aeme/B03.tif,/data/train_features/aeme/B04.tif,/data/train_features/aeme/B08.tif,/data/train_labels/aeme.tif,2
22,aepv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aepv,/data/train_features/aepv/B02.tif,/data/train_features/aepv/B03.tif,/data/train_features/aepv/B04.tif,/data/train_features/aepv/B08.tif,/data/train_labels/aepv.tif,2
23,aeqw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeqw,/data/train_features/aeqw/B02.tif,/data/train_features/aeqw/B03.tif,/data/train_features/aeqw/B04.tif,/data/train_features/aeqw/B08.tif,/data/train_labels/aeqw.tif,2
24,aesb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aesb,/data/train_features/aesb/B02.tif,/data/train_features/aesb/B03.tif,/data/train_features/aesb/B04.tif,/data/train_features/aesb/B08.tif,/data/train_labels/aesb.tif,2
25,aess,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aess,/data/train_features/aess/B02.tif,/data/train_features/aess/B03.tif,/data/train_features/aess/B04.tif,/data/train_features/aess/B08.tif,/data/train_labels/aess.tif,2
26,aesz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aesz,/data/train_features/aesz/B02.tif,/data/train_features/aesz/B03.tif,/data/train_features/aesz/B04.tif,/data/train_features/aesz/B08.tif,/data/train_labels/aesz.tif,2
27,aetz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aetz,/data/train_features/aetz/B02.tif,/data/train_features/aetz/B03.tif,/data/train_features/aetz/B04.tif,/data/train_features/aetz/B08.tif,/data/pseudo_labels/aetz.tif,2
28,aeue,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeue,/data/train_features/aeue/B02.tif,/data/train_features/aeue/B03.tif,/data/train_features/aeue/B04.tif,/data/train_features/aeue/B08.tif,/data/train_labels/aeue.tif,2
29,aevh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevh,/data/train_features/aevh/B02.tif,/data/train_features/aevh/B03.tif,/data/train_features/aevh/B04.tif,/data/train_features/aevh/B08.tif,/data/train_labels/aevh.tif,2
30,aevl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevl,/data/train_features/aevl/B02.tif,/data/train_features/aevl/B03.tif,/data/train_features/aevl/B04.tif,/data/train_features/aevl/B08.tif,/data/train_labels/aevl.tif,2
31,aevs,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevs,/data/train_features/aevs/B02.tif,/data/train_features/aevs/B03.tif,/data/train_features/aevs/B04.tif,/data/train_features/aevs/B08.tif,/data/pseudo_labels/aevs.tif,2
32,aewi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewi,/data/train_features/aewi/B02.tif,/data/train_features/aewi/B03.tif,/data/train_features/aewi/B04.tif,/data/train_features/aewi/B08.tif,/data/train_labels/aewi.tif,2
33,aewm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewm,/data/train_features/aewm/B02.tif,/data/train_features/aewm/B03.tif,/data/train_features/aewm/B04.tif,/data/train_features/aewm/B08.tif,/data/train_labels/aewm.tif,2
34,aewr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewr,/data/train_features/aewr/B02.tif,/data/train_features/aewr/B03.tif,/data/train_features/aewr/B04.tif,/data/train_features/aewr/B08.tif,/data/train_labels/aewr.tif,2
35,aexp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aexp,/data/train_features/aexp/B02.tif,/data/train_features/aexp/B03.tif,/data/train_features/aexp/B04.tif,/data/train_features/aexp/B08.tif,/data/train_labels/aexp.tif,2
36,aeyz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeyz,/data/train_features/aeyz/B02.tif,/data/train_features/aeyz/B03.tif,/data/train_features/aeyz/B04.tif,/data/train_features/aeyz/B08.tif,/data/train_labels/aeyz.tif,2
37,aezd,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aezd,/data/train_features/aezd/B02.tif,/data/train_features/aezd/B03.tif,/data/train_features/aezd/B04.tif,/data/train_features/aezd/B08.tif,/data/train_labels/aezd.tif,2
38,aeze,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeze,/data/train_features/aeze/B02.tif,/data/train_features/aeze/B03.tif,/data/train_features/aeze/B04.tif,/data/train_features/aeze/B08.tif,/data/pseudo_labels/aeze.tif,2
39,afbe,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbe,/data/train_features/afbe/B02.tif,/data/train_features/afbe/B03.tif,/data/train_features/afbe/B04.tif,/data/train_features/afbe/B08.tif,/data/train_labels/afbe.tif,2
40,afbo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbo,/data/train_features/afbo/B02.tif,/data/train_features/afbo/B03.tif,/data/train_features/afbo/B04.tif,/data/train_features/afbo/B08.tif,/data/train_labels/afbo.tif,2
41,afbr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbr,/data/train_features/afbr/B02.tif,/data/train_features/afbr/B03.tif,/data/train_features/afbr/B04.tif,/data/train_features/afbr/B08.tif,/data/train_labels/afbr.tif,2
42,afct,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afct,/data/train_features/afct/B02.tif,/data/train_features/afct/B03.tif,/data/train_features/afct/B04.tif,/data/train_features/afct/B08.tif,/data/train_labels/afct.tif,2
43,afef,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afef,/data/train_features/afef/B02.tif,/data/train_features/afef/B03.tif,/data/train_features/afef/B04.tif,/data/train_features/afef/B08.tif,/data/train_labels/afef.tif,2
44,afej,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afej,/data/train_features/afej/B02.tif,/data/train_features/afej/B03.tif,/data/train_features/afej/B04.tif,/data/train_features/afej/B08.tif,/data/train_labels/afej.tif,2
45,afel,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afel,/data/train_features/afel/B02.tif,/data/train_features/afel/B03.tif,/data/train_features/afel/B04.tif,/data/train_features/afel/B08.tif,/data/train_labels/afel.tif,2
46,afga,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afga,/data/train_features/afga/B02.tif,/data/train_features/afga/B03.tif,/data/train_features/afga/B04.tif,/data/train_features/afga/B08.tif,/data/train_labels/afga.tif,2
47,afgi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afgi,/data/train_features/afgi/B02.tif,/data/train_features/afgi/B03.tif,/data/train_features/afgi/B04.tif,/data/train_features/afgi/B08.tif,/data/train_labels/afgi.tif,2
